date,shamsi,usd_t,coin_t
2012-01-17,1390-10-27,1740,753000
2012-01-18,1390-10-28,1820,772000
2012-01-19,1390-10-29,1820,781000
2012-01-21,1390-11-01,1900,915000
2012-01-23,1390-11-03,2100,1010000
2012-01-25,1390-11-05,1900,800000
2012-01-26,1390-11-06,1700,780000
2012-01-28,1390-11-08,1770,795000
2012-01-29,1390-11-09,1830,840000
2012-01-30,1390-11-10,1830,840000
2012-02-01,1390-11-12,1830,769000
2012-02-04,1390-11-15,1775,805000
2012-02-05,1390-11-16,1850,832000
2012-02-06,1390-11-17,1880,815000
2012-02-07,1390-11-18,1890,819000
2012-02-08,1390-11-19,1920,835000
2012-02-12,1390-11-23,1940,823000
2012-02-13,1390-11-24,1900,815000
2012-02-14,1390-11-25,1935,810000
2012-02-15,1390-11-26,1950,824000
2012-02-16,1390-11-27,1960,814000
2012-02-18,1390-11-29,1940,814000
2012-02-19,1390-11-30,1920,812000
2012-02-20,1390-12-01,1940,816000
2012-02-21,1390-12-02,1945,816000
2012-02-22,1390-12-03,1935,808000
2012-02-23,1390-12-04,1935,812000
2012-02-26,1390-12-07,1930,810000
2012-02-27,1390-12-08,1870,775000
2012-02-28,1390-12-09,1850,800000
2012-02-29,1390-12-10,1920,810000
2012-03-01,1390-12-11,1925,812000
2012-03-03,1390-12-13,1925,810000
2012-03-04,1390-12-14,1900,801000
2012-03-05,1390-12-15,1910,798000
2012-03-06,1390-12-16,1895,790000
2012-03-07,1390-12-17,1885,785000
2012-03-08,1390-12-18,1900,790000
2012-03-10,1390-12-20,1880,775000
2012-03-11,1390-12-21,1870,762000
2012-03-12,1390-12-22,1885,775000
2012-03-13,1390-12-23,1880,765000
2012-03-14,1390-12-24,1860,745000
2012-03-15,1390-12-25,1850,740000
2012-03-17,1390-12-27,1925,776000
2012-03-18,1390-12-28,1915,765000
2012-03-25,1391-01-06,1890,764000
2012-03-26,1391-01-07,1900,767000
2012-03-28,1391-01-09,1920,781000
2012-03-29,1391-01-10,1920,779000
2012-04-02,1391-01-14,1912,774000
2012-04-03,1391-01-15,1900,763000
2012-04-04,1391-01-16,1895,744000
2012-04-05,1391-01-17,1900,743000
2012-04-07,1391-01-19,1910,747000
2012-04-08,1391-01-20,1901,745000
2012-04-09,1391-01-21,1900,729000
2012-04-10,1391-01-22,1865,721000
2012-04-11,1391-01-23,1880,745000
2012-04-12,1391-01-24,1884,732000
2012-04-14,1391-01-26,1880,726000
2012-04-15,1391-01-27,1730,665000
2012-04-16,1391-01-28,1780,683000
2012-04-17,1391-01-29,1800,701000
2012-04-18,1391-01-30,1824,707000
2012-04-19,1391-01-31,1818,702000
2012-04-21,1391-02-02,1803,700000
2012-04-22,1391-02-03,1795,698000
2012-04-23,1391-02-04,1779,689000
2012-04-24,1391-02-05,1758,681000
2012-04-26,1391-02-07,1748,682000
2012-04-28,1391-02-09,1665,658000
2012-04-29,1391-02-10,1734,681000
